resource_id,title,file_path,size_bytes,company,category,subtopic,estimated_minutes,xp_reward,revision_priority
"accenture-res-5_6077880573588668780","5_6077880573588668780","/resources/accenture/5_6077880573588668780.pdf",314237,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668781","5_6077880573588668781","/resources/accenture/5_6077880573588668781.pdf",218438,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668782","5_6077880573588668782","/resources/accenture/5_6077880573588668782.pdf",176691,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6077880573588668783","5_6077880573588668783","/resources/accenture/5_6077880573588668783.pdf",458251,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6080003232325697657","5_6080003232325697657","/resources/accenture/5_6080003232325697657.pdf",239284,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6080003232325697658","5_6080003232325697658","/resources/accenture/5_6080003232325697658.pdf",198463,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-5_6080003232325697659","5_6080003232325697659","/resources/accenture/5_6080003232325697659.pdf",199989,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accenture_questions_with_answers_","Accenture questions with answers","/resources/accenture/accenture_questions_with_answers_.pdf",97508,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accenture_questions_with_answers_2","Accenture questions with answers 2","/resources/accenture/accenture_questions_with_answers_2.pdf",127868,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accenture-aptitude-questions-and-answers","Accenture Aptitude Questions and Answers","/resources/accenture/accenture-aptitude-questions-and-answers.pdf",127868,"accenture","Aptitude","",30,50,"medium"
"accenture-res-accenture-logical-reasoning-questions-an","Accenture Logical Reasoning Questions and Answers","/resources/accenture/accenture-logical-reasoning-questions-and-answers.pdf",97508,"accenture","Aptitude","",30,50,"medium"
"accenture-res-accenture","Accenture","/resources/accenture/accenture.docx",48868,"accenture","Previous Year Questions","",30,50,"medium"
"accenture-res-accwnture_paper","Accwnture paper","/resources/accenture/accwnture_paper.pdf",81581,"accenture","Previous Year Questions","",30,50,"medium"
"general-res-algorithm_notes_for_professionals_257pgs","Algorithm notes for professionals 257pgs","/resources/general/algorithm_notes_for_professionals_257pgs_.pdf",2753940,"general","DSA","",60,100,"medium"
"general-res-all_imp_c_programs_94pgs_","All imp c programs 94pgs","/resources/general/all_imp_c_programs_94pgs_.pdf",291979,"general","DSA","",30,50,"medium"
"amcat-res-5_6172197097631121673","5_6172197097631121673","/resources/amcat/5_6172197097631121673.pdf",189713,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-5_6172197097631121675","5_6172197097631121675","/resources/amcat/5_6172197097631121675.pdf",478038,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-5_6172197097631121676","5_6172197097631121676","/resources/amcat/5_6172197097631121676.pdf",689792,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-5_6172256917935620176","5_6172256917935620176","/resources/amcat/5_6172256917935620176.pdf",1271343,"amcat","Previous Year Questions","",60,100,"medium"
"amcat-res-5_6172256917935620177","5_6172256917935620177","/resources/amcat/5_6172256917935620177.pdf",568942,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat_prog","amcat prog","/resources/amcat/amcat_prog.pdf",520724,"amcat","Previous Year Questions","",30,50,"medium"
